Road_Name,Road_Number
AXLING RD,36130
AXLUND RD,36030
AXTON RD E,53680
AXTON RD W,73680
AZURE WY (PARADISE LKS),88490
BADGER RD E,62780
BADGER RD W,32780
BAHER RD,9220
BAKER AV,10810
BAKER LK RD,87000
BAKERVIEW RD E,75010
BAKERVIEW RD W (W OF I-5),71600
BANCROFT RD,70450
BARNHART RD,35760
BARR RD (N OF MOUNTAIN VIEW RD),20892
BARR RD (S OF UNICK-TO DOUGLAS),20891
BARTLETT CT,58660
BARTLETT LN (N OFF E BARTLETT),58670
BARTLETT RD E,58700
BARTLETT RD W,78700
BASS ST,41000
BAY CIRCLE,26790
BAY LN,12400
BAY PL (KEL BAY),13380
BAY RD,23500
BAY SHORE DR (KEL BAY),13100
BAY ST (KEL BAY),13470
BAY ST (LUMMI ISLAND),10690
BAY VIEW DR,9950
BAYON RD,72000
BAYSHORE DR (HARBORVIEW),26187
BAYVIEW DR (KEL BAY),13720
BAYVUE RD,25210
BEACH AVE (LUMMI ISLAND),10740
BEACH LN (SANDY PT),14880
BEACH PL (KEL BAY),13710
BEACH ROCK LOOP,22490
BEACH WY (NEPTUNE BEACH),15000
BEACH WY S (NEPTUNE BEACH),15010
BEACHWAY DR (BIRCH BAY),25900
BEAR TRAP RD,8560
BEARD RD,56760
BEAVER CT (PARADISE LKS),88370
BEAVER PL (GLENHAVEN),43041
BEAZER CT (TWEED TWENTY),46532
BEAZER RD (TWEED TWENTY),46513
BEEBE RD,58850
BEECH PL (PARADISE LKS),88810
BEECHER AV,45770
BEHME RD,32380
BELFERN DR,73090
BELL CREEK RD,89470
BELL CT (PARADISE LKS),89020
BELLAIRE DR,73010
BELLAIRE WY,73100
BELLINGER RD,55860
BELLWOOD DR (PARADISE LKS),87880
BENDER RD,60890
BENNETT DR,71070
BENNETT RD,40900
BENSON RD,8850
BENSON RD,60610
BENTON CT,40930
BERTHUSEN RD,65600
BERTRAND DR,33230
BEST RD,33240
BIRCH BAY DR,20010
BIRCH BAY LYNDEN RD,21580
BIRCH DR,23680
BIRCH POINT LOOP,20040
